unique_id,cnn_intrsctn_pkey,intrsctn_grp,intrsctn_type,case_id_pkey,accident_year,collision_date,collision_time,time_cat,day_of_week,special_cond,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,truck_accident,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,primary_ramp,secondary_ramp,party_number_ckey,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,dir_of_travel,party_safety_equip_1,party_safety_equip_2,sp_info_1,sp_info_2,sp_info_3,oaf_violation_code,oaf_viol_cat,oaf_viol_section,oaf_violation_suffix,oaf_1,oaf_2,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,inattention,mv_involved,col_comb,dph_col_type,dph_col_grp
7196,24189000,0,INTERSECTIONS,4788531,2010,20100601,900,A,2,0,POTRERO AV,ALAMEDA ST,0,,Y,A,-,,,,N,2,0,1,2,A,10,N,B,B,B,A,H,-,A,A,,,-,- ,1,0,0,0,1,-,-,1,1,Y,F,23,H,H,N,M,H,-,3,-,-,-,,,N,-,0,0,D,2009,HONDA,-,,,1 2,E,BB
7197,24189000,0,INTERSECTIONS,4788531,2010,20100601,900,A,2,0,POTRERO AV,ALAMEDA ST,0,,Y,A,-,,,,N,2,0,1,2,A,10,N,B,B,B,A,H,-,A,A,,,-,- ,1,0,0,0,1,-,-,2,2,N,F,53,H,H,W,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7198,24190000,0,INTERSECTIONS,4352628,2009,20090814,2248,E,5,0,DIVISION ST,POTRERO AV,0,,Y,A,-,,,,N,4,0,1,2,A,12,N,G,B,B,A,H,-,C,A,,,-,-,0,0,1,0,1,-,-,2,2,N,M,38,A,-,S,-,-,-,-,-,-,-,,,-,-,0,1,B,,-,N,,,1 2,E,BB
7199,24190000,0,INTERSECTIONS,4352628,2009,20090814,2248,E,5,0,DIVISION ST,POTRERO AV,0,,Y,A,-,,,,N,4,0,1,2,A,12,N,G,B,B,A,H,-,C,A,,,-,-,0,0,1,0,1,-,-,1,1,N,M,81,A,-,E,M,G,-,3,-,-,-,,,E,-,0,0,H,1996,TOYOTA,-,,,1 2,E,BB
7200,24192000,0,INTERSECTIONS,6058784,2012,20120325,1241,,7,0,BRYANT ST,10TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,F,38,A,-,E,M,G,-,3,-,-,-,,,N,-,0,0,E,2009,ACURA,A,,,1 2,E,BB
7201,24192000,0,INTERSECTIONS,6058784,2012,20120325,1241,,7,0,BRYANT ST,10TH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,F,42,A,-,-,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7202,24192000,0,INTERSECTIONS,5545075,2012,20120128,2040,,6,0,10TH ST,BRYANT ST,0,,Y,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,M,23,A,-,W,-,-,-,3,-,-,-,,,-,-,0,1,B,,-,N,,,1 2,E,BB
7203,24192000,0,INTERSECTIONS,5545075,2012,20120128,2040,,6,0,10TH ST,BRYANT ST,0,,Y,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,2,1,N,F,39,A,-,S,M,G,-,3,-,-,-,,,-,-,0,0,B,2004,HONDA,A,,,1 2,E,BB
7204,24198000,0,INTERSECTIONS,2885875,2006,20061024,1335,B,2,0,BRYANT ST,9TH ST,10,E,N,A,-,R,4,N,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,F,42,A,-,N,M,G,-,3,-,-,-,,,N,-,0,0,D,2000,FORD,A,,,1 2,E,BB
7205,24198000,0,INTERSECTIONS,6067183,2012,20120906,1742,,4,0,9TH AV,BRYANT ST,2,N,N,A,-,,,,N,4,0,1,2,A,8,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,M,41,-,,-,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
7206,24198000,0,INTERSECTIONS,2112319,2005,20050709,1602,C,6,0,9TH ST,BRYANT ST,11,N,N,A,-,,,,N,3,0,1,2,A,10,N,G,B,D,A,H,-,A,A,,,A,1,0,1,0,0,1,-,-,2,2,N,M,41,A,-,E,-,-,-,3,-,-,-,,,O,-,0,1,-,,-,N,,,1 2,E,BB
7207,24198000,0,INTERSECTIONS,4652185,2010,20100402,1809,D,5,0,BRYANT ST,9TH ST,0,,Y,A,-,,,,N,2,0,1,2,A,10,N,G,B,B,B,H,-,A,A,,,A,1,1,0,0,0,1,-,-,2,2,N,F,57,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
