unique_id,cnn_intrsctn_pkey,intrsctn_grp,intrsctn_type,case_id_pkey,accident_year,collision_date,collision_time,time_cat,day_of_week,special_cond,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,truck_accident,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,primary_ramp,secondary_ramp,party_number_ckey,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,dir_of_travel,party_safety_equip_1,party_safety_equip_2,sp_info_1,sp_info_2,sp_info_3,oaf_violation_code,oaf_viol_cat,oaf_viol_section,oaf_violation_suffix,oaf_1,oaf_2,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,inattention,mv_involved,col_comb,dph_col_type,dph_col_grp
1,20085000,0,INTERSECTIONS,3844983,2008,20080815,2034,D,5,0,INGALLS ST,HUDSON AV,26,N,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,2,1,N,F,50,A,-,N,P,D,-,3,-,-,-,,,N,-,0,0,E,2007,OTHER - BUS,I,,,1 2,E,BB
2,20085000,0,INTERSECTIONS,3844983,2008,20080815,2034,D,5,0,INGALLS ST,HUDSON AV,26,N,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,B,A,H,-,C,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,F,53,G,G,E,-,-,-,-,-,-,-,,,N,-,0,1,-,,-,N,,,1 2,E,BB
3,20087000,0,INTERSECTIONS,3437648,2007,20071016,933,A,2,0,HUDSON AV,BERTHA LN,2,E,N,B,-,,,,N,4,0,1,2,A,12,F,-,B,E,B,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,M,27,-,,S,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
4,20087000,0,INTERSECTIONS,3437648,2007,20071016,933,A,2,0,HUDSON AV,BERTHA LN,2,E,N,B,-,,,,N,4,0,1,2,A,12,F,-,B,E,B,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,998,G,G,W,-,-,-,-,-,,19,20001,A,A,-,0,0,B,,BUICK,A,,,1 2,E,BB
5,20096000,0,INTERSECTIONS,5055457,2011,20110107,1450,C,5,0,GILMAN AV,GRIFFITH ST,195,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,G,-,A,D,,,N,60,0,1,0,0,1,-,-,2,1,N,M,57,A,-,E,M,G,-,3,-,-,-,,,N,-,0,0,B,1999,FORD,A,,,1 2,E,BB
6,20096000,0,INTERSECTIONS,5055457,2011,20110107,1450,C,5,0,GILMAN AV,GRIFFITH ST,195,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,G,-,A,D,,,N,60,0,1,0,0,1,-,-,1,2,Y,M,9,A,-,N,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
7,20097000,0,INTERSECTIONS,6040276,2012,20121013,1820,,6,0,BILL WALSH WY,GILMAN AV,90,S,N,A,-,,,,N,2,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,1,0,0,0,1,-,-,2,1,N,F,32,A,-,N,M,G,-,3,-,-,-,,,N,-,0,0,B,2002,LEXUS,A,,,1 2,E,BB
8,20097000,0,INTERSECTIONS,6040276,2012,20121013,1820,,6,0,BILL WALSH WY,GILMAN AV,90,S,N,A,-,,,,N,2,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,1,0,0,0,1,-,-,1,2,Y,M,4,H,H,-,-,-,-,-,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
9,20099000,0,INTERSECTIONS,2706297,2006,20060622,17,E,4,0,NICHOLS WY,CAMERON WY,366,E,N,A,-,,,,Y,3,0,1,3,A,3,F,G,B,E,A,H,-,C,D,,,A,7,0,1,0,0,1,-,-,2,2,N,M,56,A,-,W,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2 3,E,BB
10,20099000,0,INTERSECTIONS,4352429,2009,20090814,310,F,5,0,NICHOLS WY,CAMERON WY,0,,Y,A,-,,,,N,4,0,1,2,A,11,F,B,B,D,A,H,-,C,D,,,A,7,0,0,1,0,1,-,-,2,2,N,F,52,-,,E,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
11,20099000,0,INTERSECTIONS,2706297,2006,20060622,17,E,4,0,NICHOLS WY,CAMERON WY,366,E,N,A,-,,,,Y,3,0,1,3,A,3,F,G,B,E,A,H,-,C,D,,,A,7,0,1,0,0,1,-,-,1,1,Y,M,39,G,G,W,M,B,-,-,-,-,-,,,-,-,0,0,-,1999,DODGE,A,,,1 2 3,E,BB
12,20099000,0,INTERSECTIONS,4352429,2009,20090814,310,F,5,0,NICHOLS WY,CAMERON WY,0,,Y,A,-,,,,N,4,0,1,2,A,11,F,B,B,D,A,H,-,C,D,,,A,7,0,0,1,0,1,-,-,1,1,Y,M,998,G,G,N,-,-,-,3,-,-,-,,,N,-,0,0,R,,-,A,,,1 2,E,BB
13,20099000,0,INTERSECTIONS,2706297,2006,20060622,17,E,4,0,NICHOLS WY,CAMERON WY,366,E,N,A,-,,,,Y,3,0,1,3,A,3,F,G,B,E,A,H,-,C,D,,,A,7,0,1,0,0,1,-,-,3,3,N,-,998,-,,-,-,-,-,-,-,-,-,,,-,-,0,0,-,1985,CADILLAC,A,,,1 2 3,E,BB
14,20107000,0,INTERSECTIONS,3342320,2007,20070827,2025,D,1,0,FITZGERALD AV,HAWES ST,84,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,-,D,A,H,-,C,D,,Y,N,60,0,1,0,0,1,-,-,1,2,Y,M,57,B,-,S,-,-,-,3,-,-,-,,,-,-,0,1,L,,-,N,,,1 2,E,BB
15,20107000,0,INTERSECTIONS,3342320,2007,20070827,2025,D,1,0,FITZGERALD AV,HAWES ST,84,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,-,D,A,H,-,C,D,,Y,N,60,0,1,0,0,1,-,-,2,1,N,F,22,A,-,W,G,-,-,3,-,-,-,,,-,-,0,0,B,1983,TOYOTA,A,,,1 2,E,BB
16,20124000,0,INTERSECTIONS,5778633,2012,20120608,1526,,5,0,SHAFTER AV,INGALLS ST,312,E,N,A,-,,,,N,4,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,2,1,N,M,68,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,2006,TOYOTA,D,,,1 2,E,BB
17,20124000,0,INTERSECTIONS,2079335,2005,20050605,1500,C,7,0,SHAFTER,INGALLS,98,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,0,1,0,0,1,-,-,2,2,Y,F,85,A,-,N,-,-,-,-,-,-,-,,,F,-,0,1,-,,-,N,-,,1 2,E,BB
18,20124000,0,INTERSECTIONS,2700073,2006,20060604,121,E,7,0,SHAFTER,INGALLS,178,E,N,A,-,,,,Y,4,0,1,3,A,3,F,B,B,E,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,2,2,N,M,27,-,-,-,-,-,-,-,-,-,-,,,-,-,0,1,R,,-,N,,,1 2 3,E,BB
19,20124000,0,INTERSECTIONS,2079335,2005,20050605,1500,C,7,0,SHAFTER,INGALLS,98,W,N,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,0,1,0,0,1,-,-,1,1,N,M,35,A,-,E,M,C,-,-,-,-,-,,,N,-,0,0,B,1987,NISSAN,-,,,1 2,E,BB
20,20124000,0,INTERSECTIONS,5778633,2012,20120608,1526,,5,0,SHAFTER AV,INGALLS ST,312,E,N,A,-,,,,N,4,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,1,2,Y,M,5,A,-,S,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
21,20124000,0,INTERSECTIONS,6080435,2012,20120618,1526,,1,0,SHAFTER AV,INGALLS ST,312,E,N,A,-,,,,N,4,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,1,2,Y,M,5,A,-,S,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
22,20124000,0,INTERSECTIONS,2700073,2006,20060604,121,E,7,0,SHAFTER,INGALLS,178,E,N,A,-,,,,Y,4,0,1,3,A,3,F,B,B,E,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,1,1,Y,M,998,G,G,-,-,-,-,-,-,-,-,,,A,-,0,0,B,1992,HONDA,-,,,1 2 3,E,BB
23,20124000,0,INTERSECTIONS,2700073,2006,20060604,121,E,7,0,SHAFTER,INGALLS,178,E,N,A,-,,,,Y,4,0,1,3,A,3,F,B,B,E,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,3,3,N,-,998,-,-,-,-,-,-,-,-,-,-,,,-,-,0,0,O,1990,HONDA,-,,,1 2 3,E,BB
24,20124000,0,INTERSECTIONS,6080435,2012,20120618,1526,,1,0,SHAFTER AV,INGALLS ST,312,E,N,A,-,,,,N,4,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,2,1,N,M,68,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,2006,TOYOTA,D,,,1 2,E,BB
25,20125000,0,INTERSECTIONS,4140510,2009,20090223,906,A,1,0,REVERE AV,INGALLS ST,48,S,N,B,-,,,,N,3,0,1,2,A,3,N,G,B,D,B,H,-,A,A,,,D,22,0,1,0,0,1,-,-,1,1,Y,M,58,A,-,S,M,G,-,3,-,,34,21954,B,A,-,0,0,B,2001,TOYOTA,D,,,1 2,E,BB
26,20125000,0,INTERSECTIONS,4140510,2009,20090223,906,A,1,0,REVERE AV,INGALLS ST,48,S,N,B,-,,,,N,3,0,1,2,A,3,N,G,B,D,B,H,-,A,A,,,D,22,0,1,0,0,1,-,-,2,2,N,F,37,A,-,W,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
27,20140000,0,INTERSECTIONS,3217702,2007,20070529,1718,C,2,0,PALOU ST,JENNINGS ST,93,W,N,A,-,,,,N,4,0,1,2,A,11,N,G,B,D,A,H,-,A,A,,,N,60,0,0,1,0,1,-,-,2,1,N,F,50,A,-,N,M,G,-,3,-,-,-,,,N,-,0,0,B,1999,HONDA,A,,,1 2,E,BB
28,20140000,0,INTERSECTIONS,3217702,2007,20070529,1718,C,2,0,PALOU ST,JENNINGS ST,93,W,N,A,-,,,,N,4,0,1,2,A,11,N,G,B,D,A,H,-,A,A,,,N,60,0,0,1,0,1,-,-,1,2,Y,M,15,A,-,N,-,-,-,3,-,-,-,,,N,-,0,1,L,,-,N,,,1 2,E,BB
29,20151000,0,INTERSECTIONS,9005445,2006,20060825,1720,C,5,0,JENNINGS ST,VAN DYKE AV,2640,,-,A,-,,,,N,2,0,1,2,A,8,N,G,B,E,A,H,-,A,D,,,-,-,1,0,0,0,1,-,-,1,1,Y,M,35,H,H,E,-,-,-,-,-,-,-,,,N,-,0,0,D,1998,UD,-,,,1 2,E,BB
30,20151000,0,INTERSECTIONS,9005445,2006,20060825,1720,C,5,0,JENNINGS ST,VAN DYKE AV,2640,,-,A,-,,,,N,2,0,1,2,A,8,N,G,B,E,A,H,-,A,D,,,-,-,1,0,0,0,1,-,-,2,2,N,M,44,-,-,-,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
31,20154000,0,INTERSECTIONS,6049379,2012,20121008,1835,,1,0,REVERE AV,JENNINGS ST,63,E,N,A,-,,,,N,4,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,1,2,Y,M,24,A,-,-,-,-,-,-,-,-,-,,,O,-,0,1,R,,-,N,,,1 2,E,BB
32,20154000,0,INTERSECTIONS,6049379,2012,20121008,1835,,1,0,REVERE AV,JENNINGS ST,63,E,N,A,-,,,,N,4,0,1,2,A,11,N,G,B,D,A,H,-,A,D,,,N,60,0,0,1,0,1,-,-,2,1,N,F,58,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,1989,TOYOTA,A,,,1 2,E,BB
33,20156000,0,INTERSECTIONS,5427741,2011,20111101,1450,C,2,0,OAKDALE AV,KEITH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,D,,,A,1,0,0,1,0,1,-,-,1,1,Y,F,78,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,2007,TOYOTA,A,,,1 2,E,BB
34,20156000,0,INTERSECTIONS,5427741,2011,20111101,1450,C,2,0,OAKDALE AV,KEITH ST,0,,Y,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,D,,,A,1,0,0,1,0,1,-,-,2,2,N,M,6,-,-,N,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
35,20157000,0,INTERSECTIONS,2008104,2005,20050406,1010,B,3,0,PALOU AV,KEITH ST,225,W,N,A,-,,,,N,2,0,1,2,C,18,N,G,B,F,A,D,-,A,D,,,-,-,1,0,0,0,1,-,-,2,2,N,M,41,A,-,N,-,-,-,C,-,-,-,,,N,-,0,1,-,,-,N,,,1 2,E,BB
36,20157000,0,INTERSECTIONS,3787616,2008,20080608,1349,B,7,0,KEITH ST,PALOU AV,29,S,N,A,-,,,,N,2,0,1,2,A,11,N,G,B,D,A,H,-,A,A,,,N,60,1,0,0,0,1,-,-,1,2,Y,M,4,A,-,W,-,-,-,3,-,-,-,,,N,-,0,1,L,,-,N,,,1 2,E,BB
37,20157000,0,INTERSECTIONS,2008104,2005,20050406,1010,B,3,0,PALOU AV,KEITH ST,225,W,N,A,-,,,,N,2,0,1,2,C,18,N,G,B,F,A,D,-,A,D,,,-,-,1,0,0,0,1,-,-,1,1,N,M,43,A,-,S,C,-,-,C,-,-,-,,,N,-,0,0,B,1996,OTHER - TRUCK,M,,,1 2,E,BB
38,20157000,0,INTERSECTIONS,3787616,2008,20080608,1349,B,7,0,KEITH ST,PALOU AV,29,S,N,A,-,,,,N,2,0,1,2,A,11,N,G,B,D,A,H,-,A,A,,,N,60,1,0,0,0,1,-,-,2,1,N,F,23,A,-,S,M,G,-,3,-,-,-,,,N,-,0,0,B,1996,BUICK,A,,,1 2,E,BB
39,20157000,0,INTERSECTIONS,4195324,2009,20090312,801,A,4,0,PALOU AV,KEITH ST,14,W,N,A,-,,,,N,3,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,1,0,0,1,-,-,2,2,N,M,8,-,,S,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
40,20157000,0,INTERSECTIONS,4195324,2009,20090312,801,A,4,0,PALOU AV,KEITH ST,14,W,N,A,-,,,,N,3,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,1,0,0,1,-,-,1,1,Y,M,35,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,2004,VOLKSWAGEN,A,,,1 2,E,BB
41,20158000,0,INTERSECTIONS,3235006,2007,20070606,1445,C,3,0,SHAFTER AV,KEITH ST,8,W,N,A,-,,,,N,2,0,1,2,A,10,F,G,B,B,A,H,-,A,A,,,A,1,1,0,0,0,1,-,-,2,2,N,F,39,A,-,-,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
42,20158000,0,INTERSECTIONS,3235006,2007,20070606,1445,C,3,0,SHAFTER AV,KEITH ST,8,W,N,A,-,,,,N,2,0,1,2,A,10,F,G,B,B,A,H,-,A,A,,,A,1,1,0,0,0,1,-,-,1,1,Y,F,998,G,G,N,-,-,-,3,-,,24,22450,A,A,-,0,0,E,,TOYOTA,A,,,1 2,E,BB
43,20161000,0,INTERSECTIONS,2628856,2006,20060320,2141,D,1,0,KEITH ST,QUESADA,0,,N,A,-,,,,N,4,0,1,2,A,12,F,G,B,B,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,1,1,Y,M,998,-,-,N,-,-,-,-,-,-,-,,,-,-,0,0,B,1989,HONDA,-,,,1 2,E,BB
44,20161000,0,INTERSECTIONS,2628856,2006,20060320,2141,D,1,0,KEITH ST,QUESADA,0,,N,A,-,,,,N,4,0,1,2,A,12,F,G,B,B,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,2,2,N,F,14,-,,E,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
45,20170000,0,INTERSECTIONS,1996026,2005,20050114,1713,C,5,0,WEST POINT RD,MIDDLE POINT RD,161,E,N,A,-,,,,N,4,0,2,3,D,0,N,G,B,E,A,H,-,C,D,,Y,-,-,0,0,2,0,2,-,-,3,2,N,M,9,A,-,N,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
46,20170000,0,INTERSECTIONS,1995810,2005,20050204,1845,D,5,0,MIDDLE POINT RD,WEST POINT RD,130,S,N,A,-,,,,N,2,0,1,2,A,11,N,A,B,D,A,H,-,D,D,,,N,60,1,0,0,0,1,-,-,1,2,Y,F,46,G,G,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
47,20170000,0,INTERSECTIONS,1996026,2005,20050114,1713,C,5,0,WEST POINT RD,MIDDLE POINT RD,161,E,N,A,-,,,,N,4,0,2,3,D,0,N,G,B,E,A,H,-,C,D,,Y,-,-,0,0,2,0,2,-,-,1,1,N,M,53,C,-,W,M,G,-,3,-,-,-,,,N,-,0,0,G,1978,DODGE,-,,,1 2,E,BB
48,20170000,0,INTERSECTIONS,2629222,2006,20060214,2047,D,2,0,MIDDLE POINT RD,WEST POINT RD,14,S,N,A,-,,,,N,4,0,1,2,A,3,F,G,B,D,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,1,1,Y,-,998,H,H,S,-,-,-,-,-,-,-,,,N,-,0,0,B,,-,-,,,1 2,E,BB
49,20170000,0,INTERSECTIONS,1995810,2005,20050204,1845,D,5,0,MIDDLE POINT RD,WEST POINT RD,130,S,N,A,-,,,,N,2,0,1,2,A,11,N,A,B,D,A,H,-,D,D,,,N,60,1,0,0,0,1,-,-,2,1,N,-,998,G,G,S,-,-,-,3,-,,19,20001,A,A,-,0,0,B,,-,-,,,1 2,E,BB
50,20170000,0,INTERSECTIONS,2629222,2006,20060214,2047,D,2,0,MIDDLE POINT RD,WEST POINT RD,14,S,N,A,-,,,,N,4,0,1,2,A,3,F,G,B,D,A,H,-,C,D,,,-,-,0,0,1,0,1,-,-,2,2,N,F,19,-,-,E,-,-,-,-,-,-,-,,,-,-,0,1,R,,-,N,,,1 2,E,BB
51,20170000,0,INTERSECTIONS,1996026,2005,20050114,1713,C,5,0,WEST POINT RD,MIDDLE POINT RD,161,E,N,A,-,,,,N,4,0,2,3,D,0,N,G,B,E,A,H,-,C,D,,Y,-,-,0,0,2,0,2,-,-,2,2,N,M,10,A,-,N,-,-,-,3,-,-,-,,,N,-,0,1,R,,-,N,,,1 2,E,BB
52,20185000,0,INTERSECTIONS,5358740,2011,20110917,1835,D,6,0,ARDATH CT,ARDATH,2,S,N,A,-,,,,N,2,0,1,2,A,21,N,G,B,E,A,H,-,A,D,,,A,1,1,0,0,0,1,-,-,1,1,Y,F,42,A,-,N,M,G,-,3,-,-,-,,,N,-,0,0,G,1989,PONTIAC,A,,,1 2,E,BB
53,20185000,0,INTERSECTIONS,5358740,2011,20110917,1835,D,6,0,ARDATH CT,ARDATH,2,S,N,A,-,,,,N,2,0,1,2,A,21,N,G,B,E,A,H,-,A,D,,,A,1,1,0,0,0,1,-,-,2,2,N,M,3,G,G,-,-,-,-,3,-,-,-,,,N,-,0,1,-,,-,N,,,1 2,E,BB
54,20191000,0,INTERSECTIONS,1997776,2005,20050311,850,A,5,0,HUDSON ST,CASHMERE ST,8,E,N,A,-,,,,Y,4,0,1,2,A,10,F,G,B,B,A,H,-,A,D,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,20,A,-,E,M,H,-,3,-,,29,21750,,A,-,0,0,I,1989,CADILLAC,A,,,1 2,E,BB
55,20191000,0,INTERSECTIONS,1997776,2005,20050311,850,A,5,0,HUDSON ST,CASHMERE ST,8,E,N,A,-,,,,Y,4,0,1,2,A,10,F,G,B,B,A,H,-,A,D,,,A,1,0,0,1,0,1,-,-,2,2,N,M,22,A,-,N,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
56,20197000,0,INTERSECTIONS,3957827,2008,20081124,1822,D,1,0,KEITH ST,NEWCOMB ST,0,,Y,A,-,,,,N,4,0,1,2,-,-,F,G,B,B,A,H,-,C,A,,,-,-,0,0,1,0,1,-,-,2,2,N,F,42,A,-,W,-,-,-,-,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
57,20197000,0,INTERSECTIONS,3788360,2008,20080613,816,A,5,0,NEWCOMB AV,KEITH ST,0,,Y,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,A,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,M,50,A,-,S,-,-,-,3,-,-,-,,,E,-,0,1,K,,-,N,,,1 2,E,BB
58,20197000,0,INTERSECTIONS,3957827,2008,20081124,1822,D,1,0,KEITH ST,NEWCOMB ST,0,,Y,A,-,,,,N,4,0,1,2,-,-,F,G,B,B,A,H,-,C,A,,,-,-,0,0,1,0,1,-,-,1,1,N,-,998,G,G,N,-,-,-,-,-,-,-,,,N,-,0,0,D,,OTHER - BUS,-,,,1 2,E,BB
59,20197000,0,INTERSECTIONS,3788360,2008,20080613,816,A,5,0,NEWCOMB AV,KEITH ST,0,,Y,A,-,,,,N,3,0,1,2,A,11,N,G,B,D,A,H,-,A,A,,,N,60,0,1,0,0,1,-,-,2,1,N,F,44,A,-,W,M,G,-,3,-,,25,22350,,A,-,0,0,B,1989,TOYOTA,-,,,1 2,E,BB
60,20203000,0,INTERSECTIONS,3707747,2008,20080331,1833,D,1,0,EVANS,MENDELL ST,661,E,N,A,-,,,,N,2,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,1,0,0,0,1,-,-,2,1,N,M,40,A,-,W,M,G,-,3,-,-,-,,,N,-,0,0,B,2002,CHEVROLET,D,,,1 2,E,BB
61,20203000,0,INTERSECTIONS,3707747,2008,20080331,1833,D,1,0,EVANS,MENDELL ST,661,E,N,A,-,,,,N,2,0,1,2,A,11,N,D,B,D,A,H,-,A,D,,,N,60,1,0,0,0,1,-,-,1,2,Y,F,23,G,G,S,-,-,-,3,-,-,-,,,M,-,0,1,B,,-,N,,,1 2,E,BB
62,20203000,0,INTERSECTIONS,6049437,2012,20121101,630,,4,0,EVANS AV,MENDELL ST,362,E,N,C,-,,,,N,3,0,1,2,A,11,N,G,B,C,B,H,-,B,A,,,N,60,0,1,0,0,1,-,-,1,2,Y,F,62,H,H,-,-,-,-,3,-,-,-,,,F,-,0,1,-,,-,N,-,,1 2,E,BB
63,20203000,0,INTERSECTIONS,2730378,2006,20060714,1149,B,5,0,EVANS AV,MENDELL ST,566,E,N,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,D,22,0,0,1,0,1,-,-,2,2,N,M,53,A,-,S,-,-,-,3,-,-,-,,,N,-,0,1,A,,-,N,,,1 2,E,BB
64,20203000,0,INTERSECTIONS,6049437,2012,20121101,630,,4,0,EVANS AV,MENDELL ST,362,E,N,C,-,,,,N,3,0,1,2,A,11,N,G,B,C,B,H,-,B,A,,,N,60,0,1,0,0,1,-,-,2,1,N,M,38,H,H,E,M,B,-,3,-,-,-,,,N,-,0,0,B,2010,MERCEDES-BENZ,A,,,1 2,E,BB
65,20203000,0,INTERSECTIONS,2730378,2006,20060714,1149,B,5,0,EVANS AV,MENDELL ST,566,E,N,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,D,22,0,0,1,0,1,-,-,1,1,Y,M,59,A,-,E,P,G,-,3,-,-,-,,,N,-,0,0,B,2004,FORD,D,,,1 2,E,BB
66,20209000,0,INTERSECTIONS,4513421,2009,20091202,1200,B,3,0,LANE ST,OAKDALE AV,8,S,N,A,-,,,,N,4,0,1,2,A,3,N,D,B,B,A,H,-,A,D,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,62,A,-,S,P,C,-,3,-,-,-,,,E,-,0,0,D,1964,CHRYSLER,A,,,1 2,E,BB
67,20209000,0,INTERSECTIONS,6070822,2012,20120511,610,,5,0,QUESDADA,LANE ST,0,,Y,A,-,,,,N,4,0,1,2,A,8,N,G,B,B,A,H,-,A,D,,,D,22,0,0,1,0,1,-,-,2,2,N,M,72,-,,N,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
68,20209000,0,INTERSECTIONS,4513421,2009,20091202,1200,B,3,0,LANE ST,OAKDALE AV,8,S,N,A,-,,,,N,4,0,1,2,A,3,N,D,B,B,A,H,-,A,D,,,A,1,0,0,1,0,1,-,-,2,2,N,M,44,A,-,W,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
69,20209000,0,INTERSECTIONS,5449737,2011,20111219,1535,C,1,0,LANE ST,OAKDALE AV,15,S,N,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,36,A,-,S,M,G,-,3,-,-,-,,,E,-,0,0,B,2006,DODGE,A,,,1 2,E,BB
70,20209000,0,INTERSECTIONS,5449737,2011,20111219,1535,C,1,0,LANE ST,OAKDALE AV,15,S,N,A,-,,,,N,4,0,1,2,A,10,N,G,B,B,A,H,-,A,A,,,A,1,0,0,1,0,1,-,-,2,2,N,M,46,A,-,E,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
71,20209000,0,INTERSECTIONS,6070822,2012,20120511,610,,5,0,QUESDADA,LANE ST,0,,Y,A,-,,,,N,4,0,1,2,A,8,N,G,B,B,A,H,-,A,D,,,D,22,0,0,1,0,1,-,-,1,1,Y,M,78,A,-,E,M,C,-,3,-,,47,16028,C,A,-,0,0,E,1991,FORD,D,,,1 2,E,BB
72,20210000,0,INTERSECTIONS,4513516,2009,20091202,1803,D,3,0,PALOU AV,LANE ST,0,,Y,A,-,,,,,4,0,1,2,A,10,F,G,B,B,A,H,-,C,D,,,A,1,0,0,1,0,1,-,-,1,1,Y,M,998,G,G,N,-,-,-,3,-,,19,20001,A,A,N,0,0,B,,OTHER - AUTO,A,,,1 2,E,BB
73,20210000,0,INTERSECTIONS,5377883,2011,20111004,1916,D,2,0,PALOU AV,LANE ST,0,,Y,B,-,,,,N,4,0,1,2,A,12,F,G,B,B,A,H,-,B,C,,,A,1,0,0,1,0,1,-,-,2,2,N,M,15,A,-,-,-,-,-,-,-,-,-,,,-,-,0,1,-,,-,N,,,1 2,E,BB
74,20210000,0,INTERSECTIONS,4513516,2009,20091202,1803,D,3,0,PALOU AV,LANE ST,0,,Y,A,-,,,,,4,0,1,2,A,10,F,G,B,B,A,H,-,C,D,,,A,1,0,0,1,0,1,-,-,2,2,N,F,10,A,-,-,-,-,-,3,-,-,-,,,N,-,0,1,B,,-,N,,,1 2,E,BB
